,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Utterance,Start,End,group_id,origin,original_text,annotation_type,rationale_for_probing_label,message_id,causal_counterpart_1,causal_counterpart_2,causal_counterpart_3,reasoning_1,reasoning_2,reasoning_3,probingQuestionID,prev_utterance_history,probing_utterance,causal_counterpart1_msgID,causal_counterpart2_msgID,causal_counterpart3_msgID,set
0,0,0,0,0,3.45,7.14,1,4,I just need to calibrate my cameras real quick,,,msgid0,,,,,,,,,,,,,Train
1,1,1,1,1,9.87,12.45,1,4,Alright so,,,msgid1,,,,,,,,,,,,,Train
2,2,2,2,2,12.63,15.75,1,4,The task that you are doing today is called the weights task,,,msgid2,,,,,,,,,,,,,Train
3,3,3,3,3,16.2,21.36,1,4,In the first part you are going to work together to determine the weight of 5 cubes,,,msgid3,,,,,,,,,,,,,Train
4,4,4,4,4,22.17,24.27,1,4,Um and then,,,msgid4,,,,,,,,,,,,,Train
5,5,5,5,5,24.42,27.72,1,4,And we will tell you that this red cube on top is ten grams,,,msgid5,,,,,,,,,,,,,Train
6,6,6,6,6,29.08,29.83,1,1,Ok yeah  ,Neither,This utterance does not fall under probing or non-probing deliberation categories. It is a simple affirmation or agreement without introducing new information or prompting further discussion.,msgid6,,,,,,,,,,,,,Train
7,7,7,7,7,29.84,31.32,1,4,So uh,,,msgid7,,,,,,,,,,,,,Train
8,8,8,8,8,31.44,34.56,1,4,You don't need to touch the slider on the scale don't worry about that part at all,,,msgid8,,,,,,,,,,,,,Train
9,9,9,9,9,35.01,36.99,1,4,Oh,,,msgid9,,,,,,,,,,,,,Train
10,10,10,10,10,37.83,47.82,1,4,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes,,,msgid10,,,,,,,,,,,,,Train
11,11,11,11,11,48.27,52.25,1,4,And uh as you are filling it out if you guys can fill out the survey you will be group one,,,msgid11,,,,,,,,,,,,,Train
12,12,12,12,12,52.58,54.84,1,1,Oh and we don't touch the scale yet,Neither,This utterance is not probing or engaging in deliberation. It is simply providing a reminder to the participants not to touch the scale yet.,msgid12,,,,,,,,,,,,,Train
13,13,13,13,13,54.93,58.29,1,4,Um you can touch the scale just like there's a slider,,,msgid13,,,,,,,,,,,,,Train
14,14,14,14,14,58.33,58.84,1,3,it's right there,Neither,This utterance does not fit into the categories of probing questions or non-probing deliberation. It is a simple response providing information about the location of the survey.,msgid14,,,,,,,,,,,,,Train
15,15,15,15,15,59.22,60.92,1,4,But like you dont need to do anything with the slider,,,msgid15,,,,,,,,,,,,,Train
16,16,16,16,16,60.66,62.49,1,1,Ok so you want us to,Neither,"This utterance does not fall under the categories of probing or non-probing deliberation as it does not introduce new information, provoke discussion, or contribute to the task at hand. It is more of a hesitation cue or filler phrase.",msgid16,,,,,,,,,,,,,Train
